num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration
0,0,2,46,52,6,1,614,36,1,0,0,9
3,0,2,92,6,9,3,712,17,1,0,0,11
1,0,2,166,6,11,3,291,4,1,0,0,19
1,0,2,53,6,6,6,397,51,1,0,0,15
0,0,2,61,3,7,0,365,4,0,0,0,9
0,0,2,67,25,11,3,770,4,1,1,0,17
0,0,2,71,32,16,3,438,85,1,0,0,17
0,0,2,9,10,7,2,337,101,1,1,1,5
3,0,2,140,5,8,2,707,17,1,0,0,11
1,0,2,355,5,0,3,64,51,1,0,1,12
0,0,2,47,6,2,5,303,4,1,0,0,2
0,0,2,4,77,4,0,20,4,1,1,1,17
0,1,2,22,5,13,4,39,51,0,0,0,1
0,0,2,225,44,14,5,302,43,0,0,0,13
0,0,2,172,23,12,1,429,51,1,0,0,12
0,0,2,18,23,15,3,389,43,1,1,0,15
1,0,2,82,3,17,4,368,85,1,0,1,12
1,0,2,12,5,9,2,287,43,1,0,1,13
0,0,2,24,4,14,0,176,4,0,0,1,9
0,0,2,2,18,15,2,60,36,1,1,1,9
0,0,2,75,17,6,5,591,4,0,0,0,19
0,0,2,36,4,9,6,617,36,0,0,1,0
0,0,2,60,2,15,6,102,85,0,0,0,12
1,0,2,112,4,6,2,368,85,1,1,0,12
0,1,2,6,9,21,0,782,4,1,0,1,17
0,0,2,15,4,11,5,376,17,1,1,1,11
1,0,2,393,4,15,0,425,85,0,0,0,12
0,1,2,163,4,11,2,474,51,0,0,1,11
0,0,2,46,5,17,4,6,93,0,0,0,19
1,0,2,2,43,3,5,267,71,1,0,0,8
1,0,2,232,6,8,2,287,93,1,0,0,13
1,0,2,23,225,11,1,247,4,1,0,1,17
0,0,2,232,5,21,1,634,4,0,1,0,19
0,1,2,0,3,8,6,159,43,0,1,0,13
0,0,2,62,50,7,4,542,43,1,1,0,13
0,0,2,120,5,21,1,717,51,1,0,0,0
1,0,2,119,6,9,3,300,85,0,0,0,12
2,1,2,94,4,9,1,436,85,1,0,0,12
0,0,2,86,19,11,2,713,4,0,0,0,9
0,0,2,108,63,4,1,247,4,0,0,0,17
0,0,2,128,6,11,1,101,37,1,1,1,15
1,0,2,18,4,5,6,115,91,0,0,0,0
1,0,2,422,14,8,6,300,85,0,1,0,12
5,0,2,87,6,4,4,48,17,1,1,1,11
0,0,2,77,7,10,5,105,37,1,0,1,13
0,0,2,118,6,1,2,146,85,0,0,0,12
0,0,2,53,6,15,5,110,85,0,0,0,11
0,1,2,53,6,12,2,373,4,0,0,1,19
0,0,2,12,4,10,4,105,43,1,0,0,13
0,0,2,18,14,1,4,307,37,0,0,0,11
1,0,2,155,4,13,1,101,43,0,0,1,15
0,0,2,284,6,9,0,717,51,1,0,0,0
0,0,2,133,3,10,5,179,91,0,0,0,0
2,0,2,375,15,11,2,424,4,0,0,0,19
0,0,2,45,6,9,0,519,4,0,0,1,9
0,0,2,48,7,15,6,154,4,1,1,1,17
1,0,2,252,25,4,1,627,4,0,0,0,19
0,0,2,225,22,11,0,632,4,1,0,1,19
0,0,2,71,19,8,3,782,91,1,0,1,17
3,1,2,59,6,13,2,425,85,1,0,1,12
0,0,2,38,34,5,5,438,4,1,1,1,17
0,0,2,11,19,0,0,213,51,1,0,0,1
1,0,2,29,13,13,1,178,4,1,1,1,17
0,0,2,95,11,10,5,377,4,1,0,1,9
1,0,2,70,12,8,1,178,4,1,1,1,17
1,0,2,227,15,2,0,709,4,0,0,1,17
1,0,2,14,15,16,5,91,91,1,0,0,0
0,0,2,33,21,1,2,470,51,1,0,0,2
1,0,2,61,22,23,5,625,17,0,0,0,19
0,1,2,32,21,14,1,448,71,1,1,1,16
0,0,2,54,4,6,5,720,4,1,1,1,9
2,0,2,45,5,7,4,367,43,0,0,0,15
1,1,2,1,4,12,1,411,4,1,0,0,9
0,0,2,113,21,12,6,566,91,1,1,1,0
1,0,2,69,10,8,6,154,4,1,1,1,17
0,0,2,20,4,5,6,287,43,1,0,0,13
1,0,2,91,3,4,5,418,85,0,0,0,12
3,0,2,22,9,12,2,772,80,1,1,1,17
0,0,2,22,4,1,0,422,85,0,0,1,12
1,0,2,52,10,11,3,154,4,1,0,1,17
0,0,2,71,5,1,3,438,85,1,0,1,17
1,0,2,244,11,3,2,6,51,1,0,1,19
1,1,2,86,12,19,2,93,4,1,0,0,19
4,1,2,24,6,15,2,376,17,1,0,0,11
3,0,2,83,3,8,4,716,4,1,0,1,17
1,0,2,19,38,12,0,694,4,1,1,1,19
2,0,2,43,4,7,1,626,51,1,0,0,19
0,0,2,68,3,10,5,471,4,1,0,1,19
3,0,2,187,6,3,3,105,37,1,1,1,13
0,0,2,121,4,6,2,513,51,1,0,1,13
0,0,2,28,24,2,5,681,4,1,0,0,19
0,0,2,82,5,2,1,300,85,0,0,1,12
1,0,2,165,7,9,1,153,17,0,0,0,7
0,0,2,188,27,10,0,633,4,1,0,0,19
0,0,2,9,3,2,1,735,4,1,0,0,9
0,0,2,0,21,7,3,626,4,1,0,0,19
0,0,2,28,5,0,2,368,85,1,0,0,12
1,1,2,72,12,6,5,148,4,1,1,1,19
0,0,2,29,12,10,5,727,103,1,1,1,9
0,0,2,251,9,3,6,154,4,1,1,1,17
0,0,2,86,131,11,1,438,85,1,0,0,17
0,0,2,394,5,2,0,720,4,0,0,0,9
1,0,2,130,42,11,3,247,4,1,1,1,17
0,0,2,5,5,13,0,717,91,1,0,1,0
0,0,2,1,2,10,2,107,4,0,0,0,19
5,0,2,20,5,6,3,48,17,1,0,0,11
0,0,2,69,26,0,1,296,4,1,1,1,17
0,0,2,134,13,6,4,770,103,0,0,0,17
0,1,2,0,5,2,5,293,4,0,1,1,9
